"year" "top1perc" "top1perc_nok" "topmtr" "topmtr_k" "incadult_nok" "incadulttop1_nok" "incadultbot99_nok" "incadulttop1_n" "incadultbot99_n"
"64" 1976 0.0886088535189629 0.0788919627666473 0.699999988079071 0.349999994039536 26.1579374279911 206.365102562137 24.3376630326967 136.332859874111 306.980044433246
"65" 1977 0.0902511775493622 0.0789922624826431 0.699999988079071 0.349999994039536 26.5077074886462 209.390378775627 24.6604077786767 140.849385576933 310.817521805607
"66" 1978 0.089505210518837 0.0795260891318321 0.699999988079071 0.349999994039536 27.0981930003267 215.501331185557 25.1951309984557 142.846392410851 318.11220698524
"67" 1979 0.0995769873261452 0.0803240984678268 0.699999988079071 0.280000001192093 27.1695200097049 218.236720058312 25.2395482920422 161.277373358177 319.258858543512
"68" 1980 0.1002102419734 0.0817671492695808 0.699999988079071 0.280000001192093 26.47922542914 216.513077820737 24.5596915665986 157.676127399724 309.939402242526
"69" 1981 0.100170247256756 0.0802607536315918 0.691299974918365 0.239999994635582 26.2590924525317 210.757454992184 24.3954726288988 155.90732699184 306.598510330573
"70" 1982 0.10795796662569 0.0838993787765503 0.5 0.200000002980232 25.7651004357284 216.167592067304 23.8418429445003 165.271970045934 298.959073120867
"71" 1983 0.11555228382349 0.0859290286898613 0.5 0.200000002980232 25.5663197910982 219.688902682344 23.6054856204795 178.248942774675 298.677498648556
"72" 1984 0.119893468916416 0.0888637080788612 0.5 0.200000002980232 26.4723443960409 235.243068457285 24.363549203503 191.741843464298 308.133223930576
"73" 1985 0.126689627766609 0.0909456089138985 0.5 0.200000002980232 26.9948654204535 245.506447321189 24.7876777244865 208.628575506727 314.835185468261
"74" 1986 0.159170582890511 0.09129299223423 0.5 0.200000002980232 27.4624255623967 250.7127003601 25.2073722816118 281.965720305026 326.07936374109
"75" 1987 0.126621514558792 0.107462607324123 0.384999990463257 0.280000001192093 28.401555722938 305.21052300483 25.6055055483734 214.971676062298 324.607193285809
"76" 1988 0.154933393001556 0.131654813885689 0.280000001192093 0.280000001192093 30.0310660120465 395.373440660482 26.3407389953957 278.373911173717 332.396430801727
"77" 1989 0.144864439964294 0.126114949584007 0.280000001192093 0.280000001192093 30.1900032906389 380.741074293994 26.6490833815141 260.221582204829 336.277956359256
"78" 1990 0.143296405673027 0.129816472530365 0.280000001192093 0.280000001192093 30.1720796325326 391.683294680065 26.520451197709 254.281595510464 332.80675397657
"79" 1991 0.133606895804405 0.121673792600632 0.310000002384186 0.280000001192093 29.2248215037398 355.589487043652 25.9282087205084 228.516197336692 324.403113108349
"80" 1992 0.146708428859711 0.13479745388031 0.310000002384186 0.280000001192093 29.4333919495617 396.754629386213 25.7230764198985 253.428392470775 322.685588590855
"81" 1993 0.142369031906128 0.128212600946426 0.395999997854233 0.280000001192093 28.9864466686743 371.642771958561 25.5252716657462 243.641106229448 321.304935624349
"82" 1994 0.142319291830063 0.128521203994751 0.395999997854233 0.280000001192093 29.4878513864447 378.981416340416 25.9576133566066 247.245687126335 326.191397737783
"83" 1995 0.152339994907379 0.13527999818325 0.395999997854233 0.280000001192093 30.3045448580645 409.959877334319 26.4696425098195 273.236183868495 332.834148706375
"84" 1996 0.16686999797821 0.141069993376732 0.395999997854233 0.280000001192093 31.0532016398726 438.067494966314 26.9419461517267 311.574284339008 340.547762545114
"85" 1997 0.180150002241135 0.147709995508194 0.395999997854233 0.200000002980232 32.3056656705415 477.18697310849 27.8119150903602 356.081208551181 354.757098967141
"86" 1998 0.190880000591278 0.152940005064011 0.395999997854233 0.200000002980232 33.894199631265 518.377906324625 29.0004248161805 400.456832746814 371.612340839827
"87" 1999 0.200440004467964 0.158730000257492 0.395999997854233 0.200000002980232 35.1433175226002 557.829879941146 29.8636552759483 439.377339902688 383.695070700884
"88" 2000 0.215210005640984 0.164939999580383 0.395999997854233 0.200000002980232 35.8700572458127 591.640722707267 30.2562121401415 485.975344489678 387.960174813238
"89" 2001 0.182199999690056 0.15370999276638 0.386000007390976 0.200000002980232 35.2406491651547 541.683992825847 30.1250598352487 385.238459595763 378.538697692366
"90" 2002 0.16865000128746 0.149890005588531 0.386000007390976 0.200000002980232 34.0978863624787 511.093237742905 29.2797515000502 340.225577479302 367.152443625629
"91" 2003 0.175280004739761 0.152140006422997 0.349999994039536 0.174999997019768 33.7175651245058 512.979057461012 28.8765399493896 352.473449660844 363.063398295337
"92" 2004 0.197530001401901 0.163369998335838 0.349999994039536 0.150000005960464 34.7383427868349 567.520300327499 29.3567068520807 418.828865269205 372.489688318766
"93" 2005 0.219160005450249 0.176809996366501 0.349999994039536 0.150000005960464 35.5386395803961 628.358673508021 29.550558429612 485.656260846001 378.801465527665
"94" 2006 0.228229999542236 0.180590003728867 0.349999994039536 0.150000005960464 36.2938919203693 655.431407723457 30.039977619328 520.482765697218 385.303921267772
"95" 2007 0.235029995441437 0.183270007371902 0.349999994039536 0.150000005960464 37.4389325875989 686.143345132541 30.8863627639126 557.51126771111 397.243385826163
"96" 2008 0.209460005164146 0.17892000079155 0.349999994039536 0.150000005960464 35.7433891045742 639.520720688309 29.644628179486 450.933610819159 372.578041383932
